wav(um),flux(mJy),err(mJy),IRE(mJy)
3.55,64000.2,250,-2891.28
4.49,39150.02,150,441.18
5.66,26149.96,350,-1198.59
7.87,14200,70,-877.16
12,6688.8,535.1,42.64
23.67,2099.08,62.97,351.97
25,1894.18,284.13,326.57
34.8,1300,90,488.42
60,1702.7,255.4,1430.37
71.42,1809.99,207,1618.42
100,1989,298.35,1892.03
155.89,930.05,186.01,890.7
450,256,20,251.43
850,38.7,2.5,37.44
200,1880,376,1856.28
350,300,50,292.39
160,997.32,30,960
70,1069.5,10,870
1300,17,5,16.47
1200,17.3,3.5,16.68
7000,0.11,0.11,0.09
250,525,30,509.92
350,268,20,260.39
500,164,10,160.31
